Anno/Mese,Costo Piattaforme (€ spesi),N° Contatti,Costo per Contatto (CPC),Valore del Contatto,"N° Contatti Ghost
(contattato = NO)","N° Contatti Ghost %
(contattato = NO)","N° Lead
(contattato = SI)","N° Lead %
(contattato = SI)",N° Vendite,Costo per Vendita (CPV),Fatturato,Valore Medio Vendita (AOV),"N° Offerte
(Prospect)","% Prospect
(svil. offerta = SI)",Contatti per 1 Vendita,Contatti per 1 Offerta,Offerte per 1 Vendita,Tasso di Conversione (V/C),Tasso di Conversione (O/C),Tasso di Conversione (O/L),Tasso di Conversione (V/O),Giorni Medi Vendita (TMV),Contatti Progressivi,Vendite Progressive,Contatti per 1 Vendita Progressivi,Tasso di Conversione Progressivo (V/C),Fatturato Progressivo,Valore Medio Vendita Progressivo (AOV),Costo Piattaforme Progressivo ,Costo per Contatto Progressivo (CPC),Costo Totale per Vendita Progressivo,"Rendimento
(Ricavi)",Rendimento Progressivo (Ricavi),"Rendimento
ROI (X)",Campagna Chiusa
2024/11,"€ 1.556,46",157,"€ 9,91","€ 404,76",15,"9,55%",142,"90,45%",6,"€ 259,41","€ 63.548,0","€ 10.591,3",33,"21,02%",26,5,6,"3,82%","21,0%","23,2%","18,2%",63,382,15,25,"3,93%","€ 143.068,0","€ 9.537,87","€ 3.435,49","€ 8,99","€ 229,0","€ 61.991,5","€ 139.632,5","39,83",Campagna Chiusa
2024/12,"€ 1.556,94",71,"€ 21,93","€ 634,93",10,"14,08%",61,"85,92%",3,"€ 518,98","€ 45.080,0","€ 15.026,7",15,"21,13%",24,5,5,"4,23%","21,1%","24,6%","20,0%",29,453,18,25,"3,97%","€ 188.148,0","€ 10.452,67","€ 4.992,43","€ 11,02","€ 277,4","€ 43.523,1","€ 183.155,6","27,95",Campagna Chiusa
Totale Anno 2024,"€ 4.992,4",453,"€ 11,02","€ 415,34",84,"18,54%",369,"81,46%",18,"€ 277,36","€ 188.148,0","€ 10.452,7",91,"20,09%",25,5,5,"3,97%","20,1%","24,7%","19,8%",39,453,18,25,"3,97%","€ 188.148,0","€ 10.452,7","€ 4.992,4","€ 11,02","€ 277,4","€ 183.155,6","€ 183.155,6",37,
2025/1,"€ 1.536,94",101,"€ 15,22","€ 392,77",29,"28,71%",72,"71,29%",4,"€ 384,24","€ 39.670,0","€ 9.917,5",24,"23,76%",25,4,6,"3,96%","23,8%","33,3%","16,7%",36,554,22,25,"3,97%","€ 227.818,0","€ 10.355,36","€ 6.529,37","€ 11,79","€ 296,8","€ 38.133,1","€ 221.288,6","24,81",Campagna Aperta
2025/2,"€ 1.711,37",109,"€ 15,70","€ 186,24",33,"30,28%",76,"69,72%",2,"€ 855,69","€ 20.300,0",,13,"11,93%",55,8,7,"1,83%","11,9%","17,1%","15,4%","16,5",663,24,28,"3,62%","€ 248.118,0","€ 10.338,25","€ 8.240,74","€ 12,43","€ 343,4","€ 18.588,6","€ 239.877,3","10,86",Campagna Aperta
2025/3,"€ 2.358,19",68,"€ 34,68","€ 608,82",14,"20,59%",54,"79,41%",3,"€ 786,06","€ 41.400,0","€ 13.800,0",14,"20,59%",23,5,5,"4,41%","20,6%","25,9%","21,4%","Dati Mancanti/ -15204,6666666667",731,27,27,"3,69%","€ 289.518,0","€ 10.722,89","€ 10.598,93","€ 14,50","€ 392,6","€ 39.041,8","€ 278.919,1","16,56",Campagna Chiusa
2025/4,"€ 2.177,03",92,"€ 23,66","€ 383,65",17,"18,48%",75,"81,52%",4,"€ 544,26",Dati Mancanti/ 35296,,14,"15,22%",23,7,4,"4,35%","15,2%","18,7%","28,6%","Dati Mancanti/ -11423,5",823,31,27,"3,77%","€ 324.814,0","€ 10.477,87","€ 12.775,96","€ 15,52","€ 412,1","€ 33.119,0","€ 312.038,0","15,21",Campagna Chiusa
2025/5,"€ 2.202,62",135,"€ 16,32","€ 528,30",25,"18,52%",110,"81,48%",6,"€ 367,10","€ 71.320,0","€ 11.886,7",20,"14,81%",23,7,3,"4,44%","14,8%","18,2%","30,0%",43,958,37,26,"3,86%","€ 396.134,0","€ 10.706,32","€ 14.978,58","€ 15,64","€ 404,8","€ 69.117,4","€ 381.155,4","31,38",Campagna Aperta
2025/6,"€ 1.963,56",139,"€ 14,13","€ 71,94",32,"23,02%",107,"76,98%",2,"€ 981,78",Dati Mancanti/ 10000,,23,"16,55%",70,6,12,"1,44%","16,5%","21,5%","8,7%",Dati Mancanti/ -22876,1097,39,28,"3,56%","€ 406.134,0","€ 10.413,69","€ 16.942,14","€ 15,44","€ 434,4","€ 8.036,4","€ 389.191,9","4,09",Campagna Aperta
2025/7,"€ 1.996,83",201,"€ 9,93","€ 34,83",52,"25,87%",147,"73,13%",3,"€ 665,61",Dati Mancanti/ 7000,,30,"14,93%",67,7,10,"1,49%","14,9%","20,4%","10,0%",Dati Mancanti/ -15264,1298,42,31,"3,24%","€ 413.134,0","€ 9.836,52","€ 18.938,97","€ 14,59","€ 450,9","€ 5.003,2","€ 394.195,0","2,51",Campagna Aperta
2025/8,"€ 1.476,98",274,"€ 5,39","€ 22,04",91,"33,21%",174,"63,50%",2,"€ 738,49",Dati Mancanti/ 6040,,15,"5,47%",137,18,8,"0,73%","5,5%","8,6%","13,3%","Dati Mancanti/ 7,5",1572,44,36,"2,80%","€ 419.174,0","€ 9.526,68","€ 20.415,95","€ 12,99","€ 464,0","€ 4.563,0","€ 398.758,1","3,09",Campagna Aperta
2025/9,,123,"€ 0,00","€ 0,00",11,"8,94%",68,"55,28%",0,,"€ 0,0",,0,"0,00%",,,,"0,00%","0,0%","0,0%",,,1695,44,39,"2,60%","€ 419.174,0","€ 9.526,68","€ 20.415,95","€ 12,04","€ 464,0","€ 0,0","€ 398.758,1",,Campagna Aperta
2025/10,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,1695,44,39,"2,60%","€ 419.174,0","€ 9.526,68","€ 20.415,95","€ 12,04","€ 464,0","€ 0,0","€ 398.758,1",,Campagna Chiusa
2025/11,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,1695,44,39,"2,60%","€ 419.174,0","€ 9.526,68","€ 20.415,95","€ 12,04","€ 464,0","€ 0,0","€ 398.758,1",,Campagna Chiusa
2025/12,,0,,#DIV/0!,0,,0,,0,,"€ 0,0",,0,,,,,,,,,,1695,44,39,"2,60%","€ 419.174,0","€ 9.526,68","€ 20.415,95","€ 12,04","€ 464,0","€ 0,0","€ 398.758,1",,Campagna Chiusa
Totale Anno 2025,"€ 15.423,5",1242,"€ 12,42","€ 186,01",304,"24,48%",883,"71,10%",26,"€ 593,21","€ 231.026,0","€ 8.885,6",153,"12,32%",48,8,6,"2,09%","12,3%","17,3%","17,0%",32,1695,44,39,"2,60%","€ 419.174,0","€ 9.526,7","€ 20.416,0","€ 12,0","€ 464,0","€ 215.602,5","€ 398.758,1",14,
Totale Ultimi 6 Mesi,"€ 12.175,2",909,"€ 13,39","€ 124,00",231,"25,41%",667,"73,38%",20,"€ 608,76","€ 112.720,0","€ 5.636,0",116,"12,76%",45,8,6,"2,20%","12,8%","17,4%","17,2%",43,909,20,45,"2,20%","€ 112.720,0","€ 5.636,0","€ 12.175,2","€ 13,4","€ 608,8","€ 100.544,8","€ 100.544,8",8,
Totale Generale,"€ 20.416,0",1695,"€ 12,04","€ 247,30",388,"22,89%",1.252,"73,86%",44,"€ 464,00","€ 419.174,0","€ 9.526,7",244,"14,40%",39,11,6,"2,60%","14,4%","19,5%","18,0%",35,1695,44,39,"2,60%","€ 419.174,0","€ 9.526,7","€ 20.416,0","€ 12,0","€ 464,0","€ 398.758,1","€ 398.758,1",20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C = Contatti
L = Lead
O = Offerte
V = Vendite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
